,Status,City
290,city not found,Pecatu
291,current,Pegongan
292,city not found,Banjar Kaja
293,current,Banjar Keraman
294,current,Pemijian
295,city not found,Banjar Lebahsari
296,current,Banjar Mambalkajanan
297,current,Banjar Parekan
298,city not found,Banjar Badung
299,current,Banjar Desa
300,current,Banjar Kembangsari
301,city not found,Banjar Pelaga
302,current,Banjar Sedang
303,current,Pangsan
304,current,Banjar Cemenggon
305,city not found,Banjar Ulapan Satu
306,current,Banjar Badung Tengah
307,current,Kangin
308,current,Banjar Gunungpande
309,current,Banjar Pekenjelodan
310,current,Banjar Karangsuling
311,current,Banjar Kerobokan
312,current,Jabajero
313,city not found,Dajanpeken
314,city not found,Banjar Kedua
315,city not found,Banjar Cice
316,current,Kelanabian
317,current,Banjar Tengah
318,current,Banjar Tengah
319,current,Banjar Bucu
320,city not found,Banjar Sempidi
321,current,Banjar Serangan
322,city not found,Mangupura
323,current,Brahmana
324,current,Banjar Jumbayah
325,current,Banjar Teguan
326,success,Klaten
327,current,Petang
328,current,Lampuuk
329,current,Lambaro
330,current,Mata Ie
331,city not found,Tungoo
332,current,Sukoharjo
333,current,Harapankarya
334,current,Santosa
335,current,Ciburial
336,current,Margabakti
337,current,Cigorowong Kidul
338,success,Soreang
339,current,Negla
340,current,Gerempay
341,current,Lubukbergalung
342,current,Rajapeni
343,city not found,Teluk Binjai
344,city not found,Bagan Besar
345,city not found,Rimba Sekampung
346,city not found,Kampung Laksamana
347,city not found,Buluh Kasap
348,city not found,Tanjung Palas
349,city not found,Dumai Kota
350,current,Ciaro
351,current,Pandan
352,city not found,Banjar Belok
353,city not found,Jambula
354,city not found,Basiong
355,current,Passo
356,current,Amahusu
357,current,Sukasirna
358,current,Sukahurip
359,current,Cimanggu
360,current,Hegarsari
361,current,Randegan
362,current,Langkaplancar
363,current,Cibeureum
364,current,Pangasinan
365,current,Bojong
366,current,Babakan
367,current,Ciaren
368,current,Cipadung Timur
369,current,Balokang
370,current,Sinargalih
371,current,Randegan Dua
372,current,Rancakole
373,current,Babakansari
374,current,Warungbuah
375,current,Sukarame
376,current,Sindanggalih
377,current,Cikabuyutan Barat
378,city not found,Banjar Pande
379,success,Margasari
380,success,Slawi
381,current,Banjar Sayanbaleran
382,current,Banjar Sandinggianyar
383,current,Banjar Tebongkang
384,current,Banjar Triwangsakelusa
385,current,Bayad
386,current,Melinggih
387,current,Banjar Mulung
388,current,Buahan
389,current,Banjar Bukian
390,city not found,Banjar Kedisan Kelod
391,city not found,Banjar Ubud
392,city not found,Gianyar
393,current,Banjar Pasekan
394,city not found,Banjar Petuludesa
395,current,Banjar Pesalakan
396,current,Banjar Madangan Kaja
397,current,Banjar Tegallalang
398,current,Banjar Triwangsakeliki
399,current,Banjar Manukayaanyar
400,current,Banjar Dujung Kaja
401,current,Banjar Ponggang
402,city not found,Banjar Kerta
403,current,Banjar Tengah
404,current,Bunutan
405,current,Banjar Taro Kelod
406,current,Cilangkap
407,city not found,Bandar Seri Bentan
408,city not found,Sekupang
409,city not found,Belakangpadang
410,current,Cimawate
411,current,Cilisung
412,current,Karawang
413,current,Nagrog
414,current,Tegallega
415,current,Banjar Petak
416,success,Demak
417,current,Tinggarwangi
418,current,Kebasen
419,current,Menganti
420,current,Tipar
421,current,Rawaheng
422,current,Garbi
423,success,Purwokerto
424,current,Losari
425,current,Sangkalputung
426,current,Papringan
427,current,Gambarjati
428,current,Pekuncen
429,current,Karanglewas
430,current,Binangun
431,current,Klapagading
432,current,Kaliduren
433,current,Gerduren
434,current,Sudikampir
435,current,Bantar Tengah
436,success,Wangon
437,current,Rawalo
